                                           The SAS System      10:10 Tuesday, September 14, 2010   1

                                         The FREQ Procedure

                                           Porfolio Date
 
                                                         Cumulative    Cumulative
                   port_date    Frequency     Percent     Frequency      Percent
                  ---------------------------------------------------------------
                  1983-06-30          13        0.00            13         0.00  
                  1983-09-30           1        0.00            14         0.00  
                  1983-10-31          17        0.00            31         0.00  
                  1983-11-30          66        0.01            97         0.01  
                  1983-12-31         351        0.03           448         0.04  
                  1984-01-31         108        0.01           556         0.05  
                  1984-02-29         175        0.02           731         0.07  
                  1984-03-31        1004        0.10          1735         0.17  
                  1984-04-30         755        0.07          2490         0.24  
                  1984-05-31         275        0.03          2765         0.27  
                  1984-06-30        1788        0.18          4553         0.45  
                  1984-07-31         506        0.05          5059         0.50  
                  1984-08-31         413        0.04          5472         0.54  
                  1984-09-30        1538        0.15          7010         0.69  
                  1984-10-31         569        0.06          7579         0.74  
                  1984-11-30         431        0.04          8010         0.79  
                  1984-12-31        2163        0.21         10173         1.00  
                  1985-01-31         386        0.04         10559         1.03  
                  1985-02-28         315        0.03         10874         1.07  
                  1985-03-31        1901        0.19         12775         1.25  
                  1985-04-30         646        0.06         13421         1.32  
                  1985-05-31         421        0.04         13842         1.36  
                  1985-06-30        2301        0.23         16143         1.58  
                  1985-07-31         551        0.05         16694         1.64  
                  1985-08-31         345        0.03         17039         1.67  
                  1985-09-30        2197        0.22         19236         1.89  
                  1985-10-31         489        0.05         19725         1.93  
                  1985-11-30         214        0.02         19939         1.95  
                  1985-12-31        1536        0.15         21475         2.10  
                  1986-01-31         225        0.02         21700         2.13  
                  1986-02-28         229        0.02         21929         2.15  
                  1986-03-31        2499        0.24         24428         2.39  
                  1986-04-30         734        0.07         25162         2.47  
                  1986-05-31         242        0.02         25404         2.49  
                  1986-06-30        2694        0.26         28098         2.75  
                  1986-07-31         626        0.06         28724         2.82  
                  1986-08-31         109        0.01         28833         2.83  
                  1986-09-30        3039        0.30         31872         3.12  
                  1986-10-31         527        0.05         32399         3.18  
                  1986-11-30         264        0.03         32663         3.20  
                  1986-12-31        2685        0.26         35348         3.46  
                  1987-01-31         261        0.03         35609         3.49  
                  1987-02-28          58        0.01         35667         3.50  
                  1987-03-31        1882        0.18         37549         3.68  
                  1987-04-30         780        0.08         38329         3.76  
                  1987-05-31         367        0.04         38696         3.79  
                  1987-06-30        3562        0.35         42258         4.14  
                  1987-07-31         389        0.04         42647         4.18  
                  1987-08-31         104        0.01         42751         4.19  
                  1987-09-30        1765        0.17         44516         4.36  
                  1987-10-31         197        0.02         44713         4.38  
                  1987-11-30         330        0.03         45043         4.41  
                  1987-12-31        2808        0.28         47851         4.69  
                  1988-01-31         314        0.03         48165         4.72  
                  1988-02-29         333        0.03         48498         4.75  
                  1988-03-31        1131        0.11         49629         4.86  
                  1988-04-30         746        0.07         50375         4.94  
                  1988-05-31         401        0.04         50776         4.98  
                  1988-06-30        1453        0.14         52229         5.12  
                  1988-07-31         302        0.03         52531         5.15  
                  1988-08-31         321        0.03         52852         5.18  
                  1988-09-30         903        0.09         53755         5.27  
                  1988-10-31         979        0.10         54734         5.36  
                  1988-11-30        1004        0.10         55738         5.46  
                  1988-12-31        2096        0.21         57834         5.67  
                  1989-01-31         327        0.03         58161         5.70  
                  1989-02-28         304        0.03         58465         5.73  
                  1989-03-31        2289        0.22         60754         5.95  
                  1989-04-30        1145        0.11         61899         6.07  
                  1989-05-31         499        0.05         62398         6.12  
                  1989-06-30        3021        0.30         65419         6.41  
                  1989-07-31         315        0.03         65734         6.44  
                  1989-08-31         344        0.03         66078         6.48  
                  1989-09-30        2224        0.22         68302         6.69  
                  1989-10-31        1217        0.12         69519         6.81  
                  1989-11-30         471        0.05         69990         6.86  
                  1989-12-31        2952        0.29         72942         7.15  
                  1990-01-31         376        0.04         73318         7.19  
                  1990-02-28         339        0.03         73657         7.22  
                  1990-03-31        2677        0.26         76334         7.48  
                  1990-04-30         956        0.09         77290         7.57  
                  1990-05-31         453        0.04         77743         7.62  
                  1990-06-30        2357        0.23         80100         7.85  
                  1990-07-31         436        0.04         80536         7.89  
                  1990-08-31         307        0.03         80843         7.92  
                  1990-09-30        1963        0.19         82806         8.12  
                  1990-10-31         977        0.10         83783         8.21  
                  1990-11-30         485        0.05         84268         8.26  
                  1990-12-31        3599        0.35         87867         8.61  
                  1991-01-31         294        0.03         88161         8.64  
                  1991-02-28         457        0.04         88618         8.69  
                  1991-03-31        1880        0.18         90498         8.87  
                  1991-04-30        1230        0.12         91728         8.99  
                  1991-05-31         540        0.05         92268         9.04  
                  1991-06-30        3763        0.37         96031         9.41  
                  1991-07-31         363        0.04         96394         9.45  
                  1991-08-31         390        0.04         96784         9.49  
                  1991-09-30        3151        0.31         99935         9.79  
                  1991-10-31        1327        0.13        101262         9.92  
                  1991-11-30        1422        0.14        102684        10.06  
                  1991-12-31        3693        0.36        106377        10.43  
                  1992-01-31         375        0.04        106752        10.46  
                  1992-02-29         519        0.05        107271        10.51  
                  1992-03-31        2791        0.27        110062        10.79  
                  1992-04-30        1535        0.15        111597        10.94  
                  1992-05-31        1186        0.12        112783        11.05  
                  1992-06-30        5052        0.50        117835        11.55  
                  1992-07-31         388        0.04        118223        11.59  
                  1992-08-31         550        0.05        118773        11.64  
                  1992-09-30        4211        0.41        122984        12.05  
                  1992-10-31        1908        0.19        124892        12.24  
                  1992-11-30         903        0.09        125795        12.33  
                  1992-12-31        5273        0.52        131068        12.85  
                  1993-01-31         632        0.06        131700        12.91  
                  1993-02-28         908        0.09        132608        13.00  
                  1993-03-31        5069        0.50        137677        13.49  
                  1993-04-30        2076        0.20        139753        13.70  
                  1993-05-31        1311        0.13        141064        13.83  
                  1993-06-30        5807        0.57        146871        14.39  
                  1993-07-31         542        0.05        147413        14.45  
                  1993-08-31        1377        0.13        148790        14.58  
                  1993-09-30        4940        0.48        153730        15.07  
                  1993-10-31        4070        0.40        157800        15.47  
                  1993-11-30        1545        0.15        159345        15.62  
                  1993-12-31        6390        0.63        165735        16.24  
                  1994-01-31        1264        0.12        166999        16.37  
                  1994-02-28         904        0.09        167903        16.46  
                  1994-03-31        3850        0.38        171753        16.83  
                  1994-04-30        4117        0.40        175870        17.24  
                  1994-05-31        2066        0.20        177936        17.44  
                  1994-06-30        6573        0.64        184509        18.08  
                  1994-07-31         897        0.09        185406        18.17  
                  1994-08-31        1390        0.14        186796        18.31  
                  1994-09-30        5269        0.52        192065        18.82  
                  1994-10-31        4933        0.48        196998        19.31  
                  1994-11-30        2330        0.23        199328        19.54  
                  1994-12-31        7481        0.73        206809        20.27  
                  1995-01-31         989        0.10        207798        20.37  
                  1995-02-28        2294        0.22        210092        20.59  
                  1995-03-31        5701        0.56        215793        21.15  
                  1995-04-30        4884        0.48        220677        21.63  
                  1995-05-31        1807        0.18        222484        21.81  
                  1995-06-30        9548        0.94        232032        22.74  
                  1995-07-31        1372        0.13        233404        22.88  
                  1995-08-31        1824        0.18        235228        23.05  
                  1995-09-30       10123        0.99        245351        24.05  
                  1995-10-31        6590        0.65        251941        24.69  
                  1995-11-30        4055        0.40        255996        25.09  
                  1995-12-31       15231        1.49        271227        26.58  
                  1996-01-31        1377        0.13        272604        26.72  
                  1996-02-29        2856        0.28        275460        27.00  
                  1996-03-31        7130        0.70        282590        27.70  
                  1996-04-30        6560        0.64        289150        28.34  
                  1996-05-31        2792        0.27        291942        28.61  
                  1996-06-30       11315        1.11        303257        29.72  
                  1996-07-31        1474        0.14        304731        29.87  
                  1996-08-31        1804        0.18        306535        30.04  
                  1996-09-30        8452        0.83        314987        30.87  
                  1996-10-31        4967        0.49        319954        31.36  
                  1996-11-30        2226        0.22        322180        31.58  
                  1996-12-31       10620        1.04        332800        32.62  
                  1997-01-31        1466        0.14        334266        32.76  
                  1997-02-28        2160        0.21        336426        32.97  
                  1997-03-31        7453        0.73        343879        33.70  
                  1997-04-30        4621        0.45        348500        34.16  
                  1997-05-31        1818        0.18        350318        34.33  
                  1997-06-30       10579        1.04        360897        35.37  
                  1997-07-31        1658        0.16        362555        35.53  
                  1997-08-31        4320        0.42        366875        35.96  
                  1997-09-30       10011        0.98        376886        36.94  
                  1997-10-31        4700        0.46        381586        37.40  
                  1997-11-30        4362        0.43        385948        37.83  
                  1997-12-31       10871        1.07        396819        38.89  
                  1998-01-31        2554        0.25        399373        39.14  
                  1998-02-28        2295        0.22        401668        39.37  
                  1998-03-31       10032        0.98        411700        40.35  
                  1998-04-30        4330        0.42        416030        40.77  
                  1998-05-31        3052        0.30        419082        41.07  
                  1998-06-30       10189        1.00        429271        42.07  
                  1998-07-31        1796        0.18        431067        42.25  
                  1998-08-31        3515        0.34        434582        42.59  
                  1998-09-30        9855        0.97        444437        43.56  
                  1998-10-31        4214        0.41        448651        43.97  
                  1998-11-30        2693        0.26        451344        44.24  
                  1998-12-31       10423        1.02        461767        45.26  
                  1999-01-31        2660        0.26        464427        45.52  
                  1999-02-28        4379        0.43        468806        45.95  
                  1999-03-31        8141        0.80        476947        46.74  
                  1999-04-30        3329        0.33        480276        47.07  
                  1999-05-31        2123        0.21        482399        47.28  
                  1999-06-30        6436        0.63        488835        47.91  
                  1999-07-31        2400        0.24        491235        48.14  
                  1999-08-31        2796        0.27        494031        48.42  
                  1999-09-30        6364        0.62        500395        49.04  
                  1999-10-31        3436        0.34        503831        49.38  
                  1999-11-30        2501        0.25        506332        49.62  
                  1999-12-31        8197        0.80        514529        50.43  
                  2000-01-31        2963        0.29        517492        50.72  
                  2000-02-29        4982        0.49        522474        51.21  
                  2000-03-31        8182        0.80        530656        52.01  
                  2000-04-30        1969        0.19        532625        52.20  
                  2000-05-31        3948        0.39        536573        52.59  
                  2000-06-30        8500        0.83        545073        53.42  
                  2000-07-31        2832        0.28        547905        53.70  
                  2000-08-31        3455        0.34        551360        54.04  
                  2000-09-30        7791        0.76        559151        54.80  
                  2000-10-31        3983        0.39        563134        55.19  
                  2000-11-30        5403        0.53        568537        55.72  
                  2000-12-31        9632        0.94        578169        56.66  
                  2001-01-31        3964        0.39        582133        57.05  
                  2001-02-28        4967        0.49        587100        57.54  
                  2001-03-31        9097        0.89        596197        58.43  
                  2001-04-30        4762        0.47        600959        58.90  
                  2001-05-31        4036        0.40        604995        59.29  
                  2001-06-30        9029        0.88        614024        60.18  
                  2001-07-31        4113        0.40        618137        60.58  
                  2001-08-31        4430        0.43        622567        61.02  
                  2001-09-30       10602        1.04        633169        62.06  
                  2001-10-31        5377        0.53        638546        62.58  
                  2001-11-30        4619        0.45        643165        63.03  
                  2001-12-31        9903        0.97        653068        64.01  
                  2002-01-31        4649        0.46        657717        64.46  
                  2002-02-28        4294        0.42        662011        64.88  
                  2002-03-31       15101        1.48        677112        66.36  
                  2002-04-30       19549        1.92        696661        68.28  
                  2002-05-31       21000        2.06        717661        70.34  
                  2002-06-30       39474        3.87        757135        74.20  
                  2002-07-31       23335        2.29        780470        76.49  
                  2002-08-31       16843        1.65        797313        78.14  
                  2002-09-30       28044        2.75        825357        80.89  
                  2002-10-31       10147        0.99        835504        81.89  
                  2002-11-30       17405        1.71        852909        83.59  
                  2002-12-31       19724        1.93        872633        85.52  
                  2003-01-31       19816        1.94        892449        87.47  
                  2003-02-28       10591        1.04        903040        88.50  
                  2003-03-31       16959        1.66        919999        90.17  
                  2003-04-30       10467        1.03        930466        91.19  
                  2003-05-31        8270        0.81        938736        92.00  
                  2003-06-30       11403        1.12        950139        93.12  
                  2003-07-31         102        0.01        950241        93.13  
                  2003-08-31        6797        0.67        957038        93.80  
                  2003-09-30        4397        0.43        961435        94.23  
                  2003-10-31        1158        0.11        962593        94.34  
                  2003-11-30         392        0.04        962985        94.38  
                  2003-12-31         788        0.08        963773        94.46  
                  2004-01-31         346        0.03        964119        94.49  
                  2004-02-29         466        0.05        964585        94.54  
                  2004-03-31        1034        0.10        965619        94.64  
                  2004-04-30         494        0.05        966113        94.69  
                  2004-05-31         481        0.05        966594        94.73  
                  2004-06-30        1616        0.16        968210        94.89  
                  2004-07-31         740        0.07        968950        94.96  
                  2004-08-31         583        0.06        969533        95.02  
                  2004-09-30        1137        0.11        970670        95.13  
                  2004-10-31         457        0.04        971127        95.18  
                  2004-11-30         488        0.05        971615        95.23  
                  2004-12-31        1025        0.10        972640        95.33  
                  2005-01-31         537        0.05        973177        95.38  
                  2005-02-28         422        0.04        973599        95.42  
                  2005-03-31        1173        0.11        974772        95.53  
                  2005-04-30         497        0.05        975269        95.58  
                  2005-05-31         468        0.05        975737        95.63  
                  2005-06-30        1089        0.11        976826        95.74  
                  2005-07-31         345        0.03        977171        95.77  
                  2005-08-31         335        0.03        977506        95.80  
                  2005-09-30         617        0.06        978123        95.86  
                  2005-10-31         231        0.02        978354        95.89  
                  2005-11-30         242        0.02        978596        95.91  
                  2005-12-31         671        0.07        979267        95.98  
                  2006-01-31         277        0.03        979544        96.00  
                  2006-02-28         256        0.03        979800        96.03  
                  2006-03-31         561        0.05        980361        96.08  
                  2006-04-30         336        0.03        980697        96.12  
                  2006-05-31         320        0.03        981017        96.15  
                  2006-06-30         746        0.07        981763        96.22  
                  2006-07-31         508        0.05        982271        96.27  
                  2006-08-31         372        0.04        982643        96.31  
                  2006-09-30         843        0.08        983486        96.39  
                  2006-10-31         399        0.04        983885        96.43  
                  2006-11-30         298        0.03        984183        96.46  
                  2006-12-31         843        0.08        985026        96.54  
                  2007-01-31         415        0.04        985441        96.58  
                  2007-02-28         327        0.03        985768        96.61  
                  2007-03-31         884        0.09        986652        96.70  
                  2007-04-30         427        0.04        987079        96.74  
                  2007-05-31         269        0.03        987348        96.77  
                  2007-06-30         978        0.10        988326        96.86  
                  2007-07-31         528        0.05        988854        96.92  
                  2007-08-31         568        0.06        989422        96.97  
                  2007-09-30        1061        0.10        990483        97.07  
                  2007-10-31         486        0.05        990969        97.12  
                  2007-11-30        1049        0.10        992018        97.23  
                  2007-12-31        1676        0.16        993694        97.39  
                  2008-01-31         780        0.08        994474        97.47  
                  2008-02-29         679        0.07        995153        97.53  
                  2008-03-31        1177        0.12        996330        97.65  
                  2008-04-30         783        0.08        997113        97.72  
                  2008-05-31         674        0.07        997787        97.79  
                  2008-06-30        1280        0.13        999067        97.92  
                  2008-07-31         751        0.07        999818        97.99  
                  2008-08-31         853        0.08       1000671        98.07  
                  2008-09-30        1281        0.13       1001952        98.20  
                  2008-10-31         908        0.09       1002860        98.29  
                  2008-11-30         723        0.07       1003583        98.36  
                  2008-12-31        1441        0.14       1005024        98.50  
                  2009-01-31         753        0.07       1005777        98.57  
                  2009-02-28         738        0.07       1006515        98.65  
                  2009-03-31        1351        0.13       1007866        98.78  
                  2009-04-30        1087        0.11       1008953        98.88  
                  2009-05-31         976        0.10       1009929        98.98  
                  2009-06-30        1971        0.19       1011900        99.17  
                  2009-07-31        1267        0.12       1013167        99.30  
                  2009-08-31        1282        0.13       1014449        99.42  
                  2009-09-30        2128        0.21       1016577        99.63  
                  2009-10-31        1096        0.11       1017673        99.74  
                  2009-11-30        1112        0.11       1018785        99.85  
                  2009-12-31        1546        0.15       1020331       100.00  
                                           The SAS System      10:10 Tuesday, September 14, 2010   2

                                         The FREQ Procedure

                                             Names Date
 
                                                        Cumulative    Cumulative
                     NAMEDT    Frequency     Percent     Frequency      Percent
                   -------------------------------------------------------------
                   19680102         605        0.88           605         0.88  
                   19680117           1        0.00           606         0.88  
                   19680119           1        0.00           607         0.88  
                   19680129           1        0.00           608         0.89  
                   19680130           1        0.00           609         0.89  
                   19680208           1        0.00           610         0.89  
                   19680305           1        0.00           611         0.89  
                   19680306           1        0.00           612         0.89  
                   19680311           2        0.00           614         0.89  
                   19680312           1        0.00           615         0.90  
                   19680313           1        0.00           616         0.90  
                   19680327           2        0.00           618         0.90  
                   19680401           2        0.00           620         0.90  
                   19680403           1        0.00           621         0.90  
                   19680408           1        0.00           622         0.91  
                   19680410           1        0.00           623         0.91  
                   19680416           2        0.00           625         0.91  
                   19680417           1        0.00           626         0.91  
                   19680419           1        0.00           627         0.91  
                   19680423           1        0.00           628         0.91  
                   19680424           2        0.00           630         0.92  
                   19680429           1        0.00           631         0.92  
                   19680430           1        0.00           632         0.92  
                   19680501           1        0.00           633         0.92  
                   19680507           2        0.00           635         0.92  
                   19680515           1        0.00           636         0.93  
                   19680521           1        0.00           637         0.93  
                   19680527           1        0.00           638         0.93  
                   19680603           2        0.00           640         0.93  
                   19680604           1        0.00           641         0.93  
                   19680621           2        0.00           643         0.94  
                   19680628           3        0.00           646         0.94  
                   19680701           2        0.00           648         0.94  
                   19680711           1        0.00           649         0.95  
                   19680715           2        0.00           651         0.95  
                   19680722           1        0.00           652         0.95  
                   19680725           1        0.00           653         0.95  
                   19680726           1        0.00           654         0.95  
                   19680801           1        0.00           655         0.95  
                   19680806           1        0.00           656         0.96  
                   19680812           2        0.00           658         0.96  
                   19680819           1        0.00           659         0.96  
                   19680820           1        0.00           660         0.96  
                   19680823           1        0.00           661         0.96  
                   19680826           2        0.00           663         0.97  
                   19680905           1        0.00           664         0.97  
                   19680910           1        0.00           665         0.97  
                   19680919           1        0.00           666         0.97  
                   19680924           1        0.00           667         0.97  
                   19681007           1        0.00           668         0.97  
                   19681028           3        0.00           671         0.98  
                   19681104           1        0.00           672         0.98  
                   19681118           1        0.00           673         0.98  
                   19681122           1        0.00           674         0.98  
                   19681126           1        0.00           675         0.98  
                   19681203           1        0.00           676         0.98  
                   19681205           1        0.00           677         0.99  
                   19681206           1        0.00           678         0.99  
                   19681212           1        0.00           679         0.99  
                   19681213           1        0.00           680         0.99  
                   19681216           1        0.00           681         0.99  
                   19681220           1        0.00           682         0.99  
                   19681227           1        0.00           683         0.99  
                   19681230           1        0.00           684         1.00  
                   19690102           1        0.00           685         1.00  
                   19690109           2        0.00           687         1.00  
                   19690110           1        0.00           688         1.00  
                   19690120           2        0.00           690         1.01  
                   19690203           2        0.00           692         1.01  
                   19690204           1        0.00           693         1.01  
                   19690205           1        0.00           694         1.01  
                   19690206           1        0.00           695         1.01  
                   19690213           1        0.00           696         1.01  
                   19690214           1        0.00           697         1.02  
                   19690217           1        0.00           698         1.02  
                   19690225           1        0.00           699         1.02  
                   19690226           1        0.00           700         1.02  
                   19690228           1        0.00           701         1.02  
                   19690303           3        0.00           704         1.03  
                   19690305           1        0.00           705         1.03  
                   19690310           2        0.00           707         1.03  
                   19690312           1        0.00           708         1.03  
                   19690320           1        0.00           709         1.03  
                   19690325           2        0.00           711         1.04  
                   19690326           1        0.00           712         1.04  
                   19690401           4        0.01           716         1.04  
                   19690410           1        0.00           717         1.04  
                   19690414           1        0.00           718         1.05  
                   19690417           1        0.00           719         1.05  
                   19690422           1        0.00           720         1.05  
                   19690428           2        0.00           722         1.05  
                   19690429           3        0.00           725         1.06  
                   19690430           1        0.00           726         1.06  
                   19690501           1        0.00           727         1.06  
                   19690505           2        0.00           729         1.06  
                   19690507           1        0.00           730         1.06  
                   19690508           1        0.00           731         1.06  
                   19690509           1        0.00           732         1.07  
                   19690516           1        0.00           733         1.07  
                   19690522           1        0.00           734         1.07  
                   19690526           2        0.00           736         1.07  
                   19690527           1        0.00           737         1.07  
                   19690528           1        0.00           738         1.07  
                   19690529           1        0.00           739         1.08  
                   19690609           1        0.00           740         1.08  
                   19690617           1        0.00           741         1.08  
                   19690623           3        0.00           744         1.08  
                   19690624           2        0.00           746         1.09  
                   19690625           1        0.00           747         1.09  
                   19690701           3        0.00           750         1.09  
                   19690702           1        0.00           751         1.09  
                   19690714           1        0.00           752         1.10  
                   19690715           1        0.00           753         1.10  
                   19690716           1        0.00           754         1.10  
                   19690724           1        0.00           755         1.10  
                   19690730           1        0.00           756         1.10  
                   19690801           3        0.00           759         1.11  
                   19690806           1        0.00           760         1.11  
                   19690819           1        0.00           761         1.11  
                   19690820           1        0.00           762         1.11  
                   19690826           1        0.00           763         1.11  
                   19690902           1        0.00           764         1.11  
                   19690908           1        0.00           765         1.11  
                   19690910           1        0.00           766         1.12  
                   19690919           1        0.00           767         1.12  
                   19690922           1        0.00           768         1.12  
                   19690923           1        0.00           769         1.12  
                   19691001           1        0.00           770         1.12  
                   19691007           1        0.00           771         1.12  
                   19691013           1        0.00           772         1.12  
                   19691027           1        0.00           773         1.13  
                   19691028           1        0.00           774         1.13  
                   19691104           1        0.00           775         1.13  
                   19691110           1        0.00           776         1.13  
                   19691112           2        0.00           778         1.13  
                   19691125           2        0.00           780         1.14  
                   19691203           1        0.00           781         1.14  
                   19691204           1        0.00           782         1.14  
                   19691208           1        0.00           783         1.14  
                   19691212           1        0.00           784         1.14  
                   19691219           1        0.00           785         1.14  
                   19700102           1        0.00           786         1.14  
                   19700112           1        0.00           787         1.15  
                   19700126           1        0.00           788         1.15  
                   19700128           1        0.00           789         1.15  
                   19700130           1        0.00           790         1.15  
                   19700202           1        0.00           791         1.15  
                   19700203           1        0.00           792         1.15  
                   19700204           1        0.00           793         1.16  
                   19700205           1        0.00           794         1.16  
                   19700209           1        0.00           795         1.16  
                   19700210           1        0.00           796         1.16  
                   19700211           1        0.00           797         1.16  
                   19700216           1        0.00           798         1.16  
                   19700217           1        0.00           799         1.16  
                   19700218           2        0.00           801         1.17  
                   19700224           1        0.00           802         1.17  
                   19700225           1        0.00           803         1.17  
                   19700227           1        0.00           804         1.17  
                   19700302           1        0.00           805         1.17  
                   19700303           1        0.00           806         1.17  
                   19700317           1        0.00           807         1.18  
                   19700331           1        0.00           808         1.18  
                   19700401           1        0.00           809         1.18  
                   19700407           1        0.00           810         1.18  
                   19700420           2        0.00           812         1.18  
                   19700423           1        0.00           813         1.18  
                   19700428           2        0.00           815         1.19  
                   19700430           2        0.00           817         1.19  
                   19700501           2        0.00           819         1.19  
                   19700504           1        0.00           820         1.19  
                   19700512           1        0.00           821         1.20  
                   19700514           1        0.00           822         1.20  
                   19700515           1        0.00           823         1.20  
                   19700518           1        0.00           824         1.20  
                   19700526           1        0.00           825         1.20  
                   19700527           1        0.00           826         1.20  
                   19700601           1        0.00           827         1.20  
                   19700602           2        0.00           829         1.21  
                   19700609           1        0.00           830         1.21  
                   19700610           2        0.00           832         1.21  
                   19700615           1        0.00           833         1.21  
                   19700623           1        0.00           834         1.21  
                   19700629           2        0.00           836         1.22  
                   19700701           1        0.00           837         1.22  
                   19700709           1        0.00           838         1.22  
                   19700713           1        0.00           839         1.22  
                   19700727           1        0.00           840         1.22  
                   19700803           1        0.00           841         1.23  
                   19700805           1        0.00           842         1.23  
                   19700818           1        0.00           843         1.23  
                   19700821           1        0.00           844         1.23  
                   19700831           2        0.00           846         1.23  
                   19700908           1        0.00           847         1.23  
                   19700916           1        0.00           848         1.24  
                   19700922           1        0.00           849         1.24  
                   19701002           1        0.00           850         1.24  
                   19701005           1        0.00           851         1.24  
                   19701006           1        0.00           852         1.24  
                   19701007           1        0.00           853         1.24  
                   19701008           1        0.00           854         1.24  
                   19701012           1        0.00           855         1.25  
                   19701013           1        0.00           856         1.25  
                   19701022           1        0.00           857         1.25  
                   19701029           1        0.00           858         1.25  
                   19701030           1        0.00           859         1.25  
                   19701104           2        0.00           861         1.25  
                   19701110           1        0.00           862         1.26  
                   19701111           1        0.00           863         1.26  
                   19701113           2        0.00           865         1.26  
                   19701123           1        0.00           866         1.26  
                   19701201           1        0.00           867         1.26  
                   19701203           1        0.00           868         1.26  
                   19701208           1        0.00           869         1.27  
                   19701209           1        0.00           870         1.27  
                   19701215           1        0.00           871         1.27  
                   19710104           2        0.00           873         1.27  
                   19710106           1        0.00           874         1.27  
                   19710113           1        0.00           875         1.27  
                   19710114           1        0.00           876         1.28  
                   19710115           1        0.00           877         1.28  
                   19710118           1        0.00           878         1.28  
                   19710201           2        0.00           880         1.28  
                   19710302           1        0.00           881         1.28  
                   19710303           1        0.00           882         1.28  
                   19710401           1        0.00           883         1.29  
                   19710407           1        0.00           884         1.29  
